CSV File Info[Start Date 2023-07-31 10:00:52]
бс No, бс File Name, бс Rreal_data_cnt, бс Volume, бс Line Cnt, бс Head Cnt, бс Real File Name
бс 01, бс L0BIM_DCT_CALENDAR, бс 2, бс 1.0K, бс 3, бс 1, бс /D/PythonWorkspace/data/INBOUND/CR/L0BIM_DCT_CALENDAR_202303.csv
бс 02, бс L0BIM_DKV_GC_PP, бс 5, бс 1.0K, бс 7, бс 2, бс /D/PythonWorkspace/data/INBOUND/CR/L0BIM_DKV_GC_PP_202303.csv
